instance algorithm localsearch alpha beta rho ants q0 rasrank elitistants nnls dlb val
121 as 0 4.32 8.25 0.41 61 NA NA NA NA NA 37869076
121 acs 1 2.96 4.95 0.27 64 0.76 NA NA 11 1 33205871
121 ras 2 4.02 7.3 0.42 17 NA 26 NA 30 0 32915009
121 as 2 0.71 2.59 0.32 45 NA NA NA 10 1 33908921
121 acs 2 0.35 3.77 0.13 49 0.83 NA NA 8 1 33613275
121 eas 2 4.28 0.04 0.77 70 NA NA 716 36 0 33328150
121 as 3 1.96 5.26 0.19 67 NA NA NA 29 0 32973570
121 ras 3 3.98 0.51 0.32 81 NA 77 NA 28 0 32910143
121 ras 3 0.73 2.09 0.85 45 NA 19 NA 40 0 33170834
121 ras 0 4.08 6.98 0.94 31 NA 38 NA NA NA 38801948
121 ras 0 0.12 7.18 0.29 22 NA 92 NA NA NA 40538161
121 ras 1 2.34 6.03 0.52 76 NA 40 NA 30 1 33538878
121 as 3 0.41 5.96 0.01 69 NA NA NA 23 1 33271579
121 as 2 1.61 1.83 0.72 44 NA NA NA 38 1 33435606
121 acs 3 4.62 2.92 0.52 61 0.0 NA NA 47 1 32810720
121 mmas 2 0.55 1.4 0.37 5 NA NA NA 37 0 33761847
121 as 3 2.23 6.95 0.66 93 NA NA NA 47 0 33224541
121 mmas 3 1.32 6.31 0.23 36 NA NA NA 49 0 33169288
121 eas 0 1.31 6.86 0.13 51 NA NA 311 NA NA 38553166
121 mmas 0 4.73 7.8 0.21 39 NA NA NA NA NA 38537165
121 as 3 3.13 2.18 0.11 70 NA NA NA 30 1 32858591
121 as 3 1.75 6.97 0.85 88 NA NA NA 43 0 33287165
121 eas 3 0.67 7.92 0.89 44 NA NA 242 43 1 33133036
121 eas 2 2.04 4.14 0.59 33 NA NA 488 40 0 33010920
121 as 3 0.25 4.58 0.63 48 NA NA NA 45 0 33244515
121 as 2 3.42 3.89 0.43 65 NA NA NA 18 1 33155031
121 ras 3 4.43 4.57 0.16 96 NA 69 NA 39 0 32930130
121 acs 0 2.97 4.44 0.09 60 0.71 NA NA NA NA 39425955
121 mmas 0 1.03 2.7 0.73 70 NA NA NA NA NA 42952119
121 mmas 0 1.9 1.54 0.01 33 NA NA NA NA NA 60492690
121 acs 3 1.72 8.72 0.97 89 0.51 NA NA 13 1 32905771
121 mmas 2 4.27 3.23 0.93 98 NA NA NA 26 0 33712651
121 mmas 0 3.26 2.97 0.47 11 NA NA NA NA NA 44121377
121 ras 1 1.27 8.47 0.81 12 NA 78 NA 12 1 33743561
121 acs 2 4.86 7.95 0.22 89 0.67 NA NA 34 1 33144629
121 acs 0 0.24 0.71 0.67 67 0.83 NA NA NA NA 45132026
121 mmas 2 1.58 4.52 0.5 88 NA NA NA 45 0 33079048
121 as 0 4.51 8.48 0.65 94 NA NA NA NA NA 38594050
121 ras 3 1.18 8.49 0.82 19 NA 34 NA 16 0 32994965
121 eas 2 0.78 3.01 0.24 16 NA NA 610 26 1 32856048
121 eas 2 4.53 1.39 0.48 24 NA NA 242 25 1 33439921
121 eas 1 1.54 1.59 0.19 7 NA NA 241 25 1 33098771
121 mmas 2 4.12 8.81 0.16 94 NA NA NA 23 0 33279023
121 ras 2 4.55 7.07 0.43 33 NA 70 NA 29 1 32833065
121 ras 0 3.0 9.86 0.41 40 NA 35 NA NA NA 38956681
121 as 0 4.78 6.82 0.4 32 NA NA NA NA NA 38408711
121 eas 0 0.81 9.65 0.22 52 NA NA 534 NA NA 38300149
121 eas 1 1.03 1.44 0.42 69 NA NA 454 16 1 33315610
121 as 1 3.66 9.96 0.47 43 NA NA NA 6 1 34111202
121 eas 1 2.36 0.67 0.5 95 NA NA 449 5 0 33396756
121 eas 0 0.11 7.92 0.51 89 NA NA 189 NA NA 39936902
121 eas 2 0.4 7.45 0.46 47 NA NA 552 6 0 33653756
121 mmas 2 4.81 7.3 0.68 72 NA NA NA 16 1 33063403
121 as 2 2.52 4.9 0.62 96 NA NA NA 14 1 33286618
121 acs 2 4.45 3.61 0.48 5 0.0 NA NA 33 1 32776807
121 eas 1 4.78 0.64 0.45 89 NA NA 591 42 1 33724516
121 mmas 1 3.32 6.91 0.98 36 NA NA NA 41 0 33958917
121 ras 1 2.71 5.01 0.5 10 NA 34 NA 28 0 33063956
121 mmas 1 1.04 6.7 0.4 61 NA NA NA 42 1 33602191
121 as 3 0.13 2.59 0.85 72 NA NA NA 44 0 33345973
121 acs 3 2.86 0.83 0.57 64 0.28 NA NA 15 1 32718442
121 ras 2 4.16 7.43 0.33 56 NA 41 NA 35 0 33044439
121 eas 1 0.21 3.27 0.27 38 NA NA 193 29 0 34383292
121 eas 3 1.58 9.46 0.88 40 NA NA 153 14 0 32908558
121 ras 0 1.61 4.96 0.5 16 NA 88 NA NA NA 39749407
121 acs 0 0.49 2.54 0.65 12 0.08 NA NA NA NA 47138294
121 mmas 0 2.73 1.81 0.46 52 NA NA NA NA NA 48566594
121 acs 3 2.55 5.6 0.78 60 0.45 NA NA 14 0 32913154
121 eas 0 4.0 6.78 0.69 95 NA NA 405 NA NA 40845020
121 acs 0 0.46 1.78 0.64 100 0.24 NA NA NA NA 53646417
121 mmas 3 1.76 3.99 0.51 60 NA NA NA 22 1 32637379
121 as 1 4.15 8.75 0.6 78 NA NA NA 28 1 33412359
121 acs 0 4.36 9.82 0.3 40 0.05 NA NA NA NA 39273521
121 ras 0 2.4 0.07 0.69 39 NA 76 NA NA NA 78311572
121 as 1 3.42 7.38 0.13 100 NA NA NA 26 1 33693698
121 ras 1 3.06 2.78 0.58 22 NA 30 NA 17 0 33116624
121 acs 1 1.71 0.33 0.34 90 0.78 NA NA 45 1 34325943
121 as 3 1.18 5.45 0.01 84 NA NA NA 31 1 33158354
121 ras 2 4.37 6.25 0.54 74 NA 80 NA 37 1 33044213
121 ras 2 0.94 4.93 0.99 48 NA 98 NA 38 1 33641332
121 mmas 2 0.13 4.01 0.98 55 NA NA NA 32 0 33647001
121 mmas 3 2.39 6.68 0.11 7 NA NA NA 18 1 32716438
121 acs 3 2.66 2.94 0.3 47 0.9 NA NA 11 1 32567993
121 acs 2 3.69 2.31 0.86 97 0.04 NA NA 45 1 33667707
121 eas 0 0.68 0.13 0.81 49 NA NA 175 NA NA 78032915
121 ras 3 0.42 5.69 0.13 10 NA 13 NA 39 1 33134037
121 acs 2 4.28 4.34 0.23 87 0.8 NA NA 48 1 33185172
121 eas 2 2.65 1.02 0.12 94 NA NA 675 7 0 33498045
121 mmas 0 3.0 1.26 0.96 30 NA NA NA NA NA 61651042
121 as 2 3.18 4.66 0.04 7 NA NA NA 48 0 33246999
121 acs 0 3.76 9.92 0.76 28 0.7 NA NA NA NA 38368659
121 as 0 4.29 3.28 0.57 55 NA NA NA NA NA 39794205
121 acs 3 2.12 3.52 0.9 75 0.05 NA NA 46 0 33233244
121 mmas 2 0.01 1.87 0.78 83 NA NA NA 12 1 34377717
121 as 2 1.71 9.38 0.23 41 NA NA NA 25 0 33350004
121 mmas 1 1.57 2.14 0.59 14 NA NA NA 35 1 33069137
121 eas 3 1.65 5.31 0.39 66 NA NA 641 7 0 32913440
121 acs 3 3.58 6.62 0.36 7 0.94 NA NA 45 1 32584389
121 eas 1 1.33 5.26 0.16 27 NA NA 249 30 1 33414181
121 eas 0 4.33 6.21 0.8 29 NA NA 88 NA NA 41425240
121 mmas 2 3.18 7.05 0.56 65 NA NA NA 40 0 32818059
121 acs 2 2.28 2.44 0.08 83 0.84 NA NA 46 1 33420317
121 as 2 0.35 5.91 0.55 55 NA NA NA 7 1 34000757
121 acs 3 0.72 3.65 0.07 15 0.84 NA NA 46 1 32902626
121 ras 2 1.03 5.86 0.6 18 NA 78 NA 35 0 33425811
121 acs 0 4.77 2.54 0.81 42 0.05 NA NA NA NA 49105411
121 eas 0 3.57 0.97 0.83 27 NA NA 162 NA NA 68048447
121 mmas 2 4.96 8.62 0.96 18 NA NA NA 7 1 33799104
121 acs 2 2.35 0.27 0.13 42 0.76 NA NA 37 0 33109034
121 as 3 4.08 1.7 0.75 31 NA NA NA 49 0 32993071
121 as 3 1.57 8.33 0.36 46 NA NA NA 46 0 33067301
121 acs 1 2.13 5.67 0.52 17 0.84 NA NA 50 0 32851102
121 eas 0 4.07 9.91 0.93 47 NA NA 117 NA NA 39428015
121 ras 2 1.45 7.94 0.77 16 NA 56 NA 46 1 33522205
121 eas 0 2.72 3.2 0.25 7 NA NA 682 NA NA 48879033
121 mmas 1 1.12 2.0 0.85 47 NA NA NA 26 1 32862746
121 ras 3 1.76 6.97 0.04 26 NA 61 NA 44 0 33059746
121 eas 0 3.34 1.35 0.65 27 NA NA 363 NA NA 62059133
121 acs 2 2.17 6.06 0.53 36 0.81 NA NA 31 0 32583005
121 acs 0 4.44 3.49 0.02 73 0.83 NA NA NA NA 39775171
121 as 1 2.48 3.6 0.18 69 NA NA NA 24 0 33652702
121 acs 2 4.58 8.97 0.29 23 0.01 NA NA 45 1 32844138
121 eas 2 4.92 0.02 0.41 54 NA NA 384 42 0 33184703
121 acs 1 3.94 0.21 0.53 64 0.95 NA NA 7 1 32980070
121 mmas 3 2.36 6.57 0.07 22 NA NA NA 46 0 33189396
121 acs 3 1.09 8.24 0.88 69 0.7 NA NA 44 1 32807423
121 mmas 1 0.54 6.94 0.99 14 NA NA NA 14 0 33539541
121 as 3 2.22 0.51 0.34 58 NA NA NA 29 0 32986511
121 mmas 2 0.51 1.07 0.1 11 NA NA NA 48 0 34053451
121 acs 2 4.87 9.49 0.37 78 0.91 NA NA 33 1 32974730
121 as 1 4.86 5.85 0.73 58 NA NA NA 29 1 33348434
121 eas 2 0.82 0.43 0.4 24 NA NA 749 34 0 33369709
121 ras 1 0.41 4.46 0.05 7 NA 55 NA 32 1 34314420
121 ras 0 2.64 2.84 0.16 5 NA 76 NA NA NA 50973402
121 ras 3 4.85 3.27 0.85 40 NA 67 NA 34 0 32771499
121 as 2 4.07 4.64 0.53 77 NA NA NA 15 1 33212077
121 mmas 1 3.45 9.85 0.1 34 NA NA NA 34 1 33384198
121 as 1 1.74 2.17 0.57 53 NA NA NA 36 0 33618468
121 as 2 0.25 0.01 0.05 91 NA NA NA 7 1 34796483
121 acs 1 4.41 2.87 0.22 38 0.76 NA NA 37 0 33123563
121 eas 1 3.24 9.36 0.4 82 NA NA 349 10 1 33299945
121 acs 1 0.41 1.27 0.19 90 0.13 NA NA 29 1 34904550
121 acs 2 4.13 1.99 0.69 25 0.78 NA NA 13 0 32815301
121 acs 3 4.71 7.65 0.45 52 0.05 NA NA 13 0 32799069
121 eas 2 1.45 4.57 0.57 75 NA NA 115 20 1 33335029
121 eas 3 0.18 2.55 0.21 50 NA NA 304 36 0 33269775
121 mmas 1 4.27 2.13 0.27 15 NA NA NA 21 0 33085643
121 as 3 3.31 3.08 0.68 55 NA NA NA 7 1 32544750
121 eas 2 3.03 6.39 0.6 10 NA NA 256 11 1 33221440
121 as 2 4.69 7.91 0.19 44 NA NA NA 7 0 33337234
121 acs 3 3.45 4.45 0.39 98 0.02 NA NA 48 1 32962164
121 as 1 0.12 4.31 0.34 13 NA NA NA 46 0 34278832
121 acs 2 3.72 4.91 0.13 6 0.33 NA NA 22 1 32652307
121 eas 0 1.08 3.12 0.62 16 NA NA 91 NA NA 43045745
121 eas 3 0.05 0.45 0.35 87 NA NA 190 48 1 33356912
121 mmas 0 4.26 2.07 0.16 94 NA NA NA NA NA 43440131
121 mmas 3 0.77 1.27 0.48 7 NA NA NA 43 0 33142345
121 acs 2 3.32 0.4 0.14 12 0.89 NA NA 38 0 32692448
121 as 2 1.14 2.11 0.46 53 NA NA NA 49 1 33631991
121 mmas 2 0.35 4.89 0.21 22 NA NA NA 39 1 33824739
121 eas 3 3.17 6.7 0.91 6 NA NA 421 24 0 33161368
121 as 3 3.24 0.8 0.13 9 NA NA NA 39 1 32611722
121 acs 3 4.52 5.09 0.03 31 0.39 NA NA 48 1 32685447
121 acs 2 0.22 2.53 0.44 47 0.97 NA NA 7 0 33418091
121 as 0 0.04 5.24 0.05 64 NA NA NA NA NA 42924973
121 acs 2 0.27 3.38 0.69 96 0.48 NA NA 44 1 33920271
121 eas 1 4.43 7.16 0.53 45 NA NA 75 21 1 33063813
121 ras 2 1.99 1.25 0.7 44 NA 2 NA 44 1 33315168
121 as 2 3.58 4.4 0.47 64 NA NA NA 35 1 33089970
121 mmas 2 4.16 6.4 0.52 25 NA NA NA 18 0 32792260
121 eas 1 0.97 9.86 0.29 83 NA NA 614 16 1 33721182
121 mmas 2 4.62 7.38 0.69 16 NA NA NA 21 0 33233814
121 ras 1 1.02 0.45 0.15 50 NA 99 NA 17 1 34643791
121 as 0 1.18 8.51 0.69 16 NA NA NA NA NA 38796349
121 mmas 0 3.79 6.7 0.67 36 NA NA NA NA NA 39607825
121 as 2 0.62 0.75 0.07 78 NA NA NA 8 0 34156830
121 as 1 1.22 7.11 0.74 61 NA NA NA 9 0 33879037
121 acs 2 2.1 4.39 0.87 41 0.99 NA NA 5 0 32950035
121 mmas 0 4.53 9.69 0.84 25 NA NA NA NA NA 39878839
121 acs 1 1.47 9.06 0.93 14 0.92 NA NA 16 1 32858138
121 acs 1 4.82 3.08 0.49 87 0.3 NA NA 38 0 33603624
121 acs 2 0.14 0.95 0.2 55 0.39 NA NA 19 0 33912710
121 eas 2 0.25 4.95 0.05 70 NA NA 26 48 1 33890524
121 ras 1 0.72 1.21 1.0 67 NA 27 NA 23 0 34390076
121 ras 3 3.48 4.62 0.81 84 NA 17 NA 19 0 32929850
121 ras 0 2.51 5.61 0.32 81 NA 77 NA NA NA 38371054
121 ras 3 2.48 0.04 0.9 12 NA 75 NA 7 0 33125516
121 ras 2 4.52 2.83 0.09 48 NA 99 NA 33 0 33091047
121 as 2 4.03 3.86 0.94 39 NA NA NA 23 0 32936444
121 acs 0 2.36 6.0 0.85 22 0.08 NA NA NA NA 40070428
121 eas 0 3.89 3.57 0.21 59 NA NA 371 NA NA 45990334
121 mmas 2 4.22 9.48 0.01 59 NA NA NA 14 1 33559695
121 as 3 2.23 9.8 0.58 55 NA NA NA 45 1 32999043
121 as 3 2.79 7.44 0.82 9 NA NA NA 28 0 32707684
121 acs 0 1.67 1.4 0.61 65 0.17 NA NA NA NA 56472198
121 mmas 2 0.85 1.6 0.79 16 NA NA NA 37 1 33048618
121 mmas 0 3.71 2.47 0.75 25 NA NA NA NA NA 49135369
121 eas 1 0.49 7.48 0.13 21 NA NA 278 32 1 33922990
121 eas 0 1.87 6.37 0.65 86 NA NA 640 NA NA 40660035
121 as 0 0.64 6.44 0.47 64 NA NA NA NA NA 39423769
121 as 3 4.75 1.88 0.24 7 NA NA NA 40 0 32706821
121 as 0 1.79 4.54 0.9 36 NA NA NA NA NA 39383062
121 ras 0 1.05 3.95 0.37 49 NA 61 NA NA NA 40086744
121 acs 1 0.79 8.63 0.42 96 0.14 NA NA 25 1 33831539
121 as 1 1.25 1.5 0.04 14 NA NA NA 8 0 34144088
121 acs 3 4.03 1.58 0.5 97 0.34 NA NA 23 1 32990094
121 ras 2 1.72 2.55 0.84 25 NA 58 NA 8 0 33273587
121 eas 1 0.18 7.09 0.33 17 NA NA 279 48 1 34039057
121 acs 1 2.06 9.41 0.83 77 0.02 NA NA 6 0 33646862
121 as 3 1.74 3.0 0.24 99 NA NA NA 29 0 33089825
121 eas 0 2.61 5.43 0.85 62 NA NA 713 NA NA 42884458
121 ras 0 3.87 3.25 0.9 85 NA 73 NA NA NA 39321047
121 mmas 0 0.94 9.13 0.39 68 NA NA NA NA NA 38586196
121 acs 0 4.68 2.58 0.44 70 0.41 NA NA NA NA 44971255
121 acs 3 3.64 2.64 0.45 49 0.07 NA NA 33 1 32732117
121 ras 0 0.19 3.85 0.59 37 NA 21 NA NA NA 43919971
121 ras 0 4.0 9.44 0.49 46 NA 85 NA NA NA 39052691
121 eas 1 3.73 2.95 0.24 54 NA NA 468 32 0 33377877
121 as 1 1.91 0.95 1.0 52 NA NA NA 32 1 33713201
121 eas 2 1.51 2.79 0.28 97 NA NA 336 23 1 33136399
121 mmas 2 1.3 3.26 0.7 15 NA NA NA 31 1 32741582
121 eas 3 4.29 2.41 0.65 55 NA NA 37 13 0 32621913
121 as 0 3.33 8.26 0.68 7 NA NA NA NA NA 39076695
121 ras 3 1.55 9.85 0.08 81 NA 36 NA 26 0 32969830
121 eas 0 3.48 2.8 0.12 51 NA NA 102 NA NA 46522241
121 acs 0 0.54 0.07 0.49 16 1.0 NA NA NA NA 38359306
121 mmas 2 2.98 6.26 0.06 7 NA NA NA 19 0 32987250
121 as 0 3.18 2.0 0.94 64 NA NA NA NA NA 39270636
121 ras 3 2.55 9.34 0.44 85 NA 48 NA 37 1 32876836
121 as 3 3.34 6.21 0.5 38 NA NA NA 13 0 32775398
121 mmas 1 2.22 6.08 0.92 50 NA NA NA 37 0 33735895
121 as 0 3.84 4.68 0.53 12 NA NA NA NA NA 38956496
121 acs 3 4.95 8.22 0.45 60 0.6 NA NA 39 0 32892910
121 eas 0 4.42 0.06 0.99 5 NA NA 661 NA NA 78979182
121 ras 2 3.3 3.38 0.17 10 NA 26 NA 48 0 32828579
121 ras 2 0.64 4.99 0.08 18 NA 44 NA 17 0 33603090
121 ras 0 2.32 6.88 0.2 46 NA 41 NA NA NA 37914775
121 acs 3 3.6 3.1 0.59 14 0.74 NA NA 27 1 32569674
121 mmas 1 0.13 4.02 0.63 44 NA NA NA 43 0 34263261
121 mmas 0 2.45 1.12 0.76 51 NA NA NA NA NA 60688395
121 mmas 3 1.74 8.5 0.27 86 NA NA NA 26 0 33044933
121 mmas 2 2.81 1.07 0.22 63 NA NA NA 15 0 33308145
121 ras 3 4.38 8.87 1.0 36 NA 73 NA 47 0 33038946
121 ras 0 0.44 3.89 0.76 33 NA 59 NA NA NA 42267705
121 as 2 0.32 1.05 0.63 89 NA NA NA 36 1 34475972
121 eas 0 4.98 8.51 0.97 78 NA NA 342 NA NA 40037907
121 mmas 2 4.46 9.13 0.63 93 NA NA NA 17 1 32906587
121 ras 2 4.09 6.01 0.68 83 NA 3 NA 47 0 32806139
121 eas 1 1.11 3.24 0.56 81 NA NA 609 7 0 33914085
121 as 1 1.57 0.43 0.47 10 NA NA NA 33 0 33869187
121 as 3 3.91 6.22 0.55 20 NA NA NA 21 0 32727787
121 as 0 1.75 4.9 0.29 66 NA NA NA NA NA 38121829
121 mmas 2 1.21 9.08 0.76 18 NA NA NA 38 0 32601426
121 eas 2 3.5 2.54 0.5 41 NA NA 218 45 0 33234982
121 as 2 3.23 6.42 0.84 77 NA NA NA 50 1 33180579
121 ras 3 0.91 7.12 0.57 55 NA 87 NA 8 1 33109356
121 acs 0 2.05 9.88 0.17 21 0.08 NA NA NA NA 38672245
121 as 1 3.55 8.29 0.69 29 NA NA NA 27 0 33357475
121 as 2 2.85 3.05 0.07 21 NA NA NA 35 1 33207964
121 acs 1 0.42 0.79 0.4 34 0.95 NA NA 18 0 33593435
121 acs 0 0.73 4.84 0.08 87 0.18 NA NA NA NA 41965386
121 ras 1 1.77 8.77 0.64 87 NA 94 NA 14 1 33635406
121 eas 1 3.9 9.33 0.94 33 NA NA 289 16 0 33591278
121 as 2 2.13 7.33 0.69 23 NA NA NA 27 1 33367205
121 ras 0 2.63 3.06 0.53 76 NA 34 NA NA NA 39024846
121 mmas 0 3.56 4.87 0.25 54 NA NA NA NA NA 38777123
121 mmas 3 0.89 5.43 0.17 36 NA NA NA 23 0 33180287
121 as 1 4.71 1.09 0.15 76 NA NA NA 45 0 33490119
121 eas 3 2.39 9.28 0.62 75 NA NA 225 37 0 32991932
121 as 0 3.07 5.35 0.82 94 NA NA NA NA NA 38146477
121 mmas 3 4.9 0.82 0.8 47 NA NA NA 20 0 33205281
121 mmas 3 4.29 2.84 0.98 20 NA NA NA 37 1 33261533
121 as 2 4.98 0.62 0.56 71 NA NA NA 21 0 32992219
121 as 3 2.22 9.0 0.88 73 NA NA NA 35 0 33055162
121 ras 1 4.6 8.47 0.54 72 NA 53 NA 32 1 33285322
121 acs 0 2.15 6.29 0.03 12 0.75 NA NA NA NA 38178922
121 acs 1 3.54 7.89 0.8 32 0.27 NA NA 33 0 32977995
121 ras 2 2.33 6.12 0.8 31 NA 65 NA 47 0 33051270
121 ras 0 3.84 3.49 0.25 11 NA 58 NA NA NA 47170855
121 mmas 1 3.95 4.05 0.35 32 NA NA NA 49 0 32908559
121 as 1 3.85 4.61 0.12 56 NA NA NA 35 0 33444174
121 acs 0 4.59 2.8 0.13 22 0.2 NA NA NA NA 46854984
121 ras 0 0.35 5.33 0.01 24 NA 65 NA NA NA 41495264
121 as 1 0.63 8.16 0.97 95 NA NA NA 44 1 34044240
121 mmas 2 1.98 9.72 0.81 50 NA NA NA 32 1 32729905
121 acs 2 4.93 4.32 0.92 73 0.07 NA NA 21 1 32738895
121 mmas 3 4.96 5.25 0.05 33 NA NA NA 42 1 33116805
121 mmas 2 3.95 4.97 0.92 95 NA NA NA 23 1 33547634
121 as 2 4.17 0.01 0.67 69 NA NA NA 38 1 33006542
121 acs 3 2.0 2.16 0.27 33 0.7 NA NA 35 1 32512389
121 ras 1 1.28 9.22 0.66 100 NA 54 NA 13 1 33798536
121 ras 2 2.07 9.83 0.09 51 NA 21 NA 25 0 33117177
121 ras 0 0.48 3.2 0.59 65 NA 31 NA NA NA 43269431
121 ras 3 3.61 6.54 0.75 33 NA 16 NA 28 1 32404056
121 as 2 4.07 5.07 0.02 40 NA NA NA 39 0 33224911
121 eas 3 1.9 8.2 0.55 67 NA NA 396 37 1 32844420
121 eas 2 0.66 4.07 0.14 75 NA NA 144 12 0 33502486
121 acs 0 3.46 0.8 0.06 50 0.81 NA NA NA NA 45075622
121 acs 1 2.01 8.94 0.54 39 0.63 NA NA 19 1 32895189
121 eas 0 2.21 5.97 0.31 29 NA NA 273 NA NA 40916886
121 ras 0 2.51 7.49 0.65 89 NA 24 NA NA NA 38235123
121 mmas 3 2.24 5.72 0.64 56 NA NA NA 43 0 32925250
121 as 1 2.4 4.84 0.53 98 NA NA NA 44 0 33576917
121 ras 0 0.92 3.98 0.52 25 NA 29 NA NA NA 40816335
121 eas 0 2.64 6.15 0.73 9 NA NA 349 NA NA 42564358
121 acs 3 1.19 2.78 0.68 58 0.16 NA NA 21 0 33063282
121 as 1 3.27 8.13 0.08 25 NA NA NA 32 1 33672329
121 mmas 1 3.87 6.53 0.62 58 NA NA NA 34 1 33201821
121 mmas 0 2.19 5.13 0.81 98 NA NA NA NA NA 41629603
121 ras 3 4.15 9.07 0.26 7 NA 88 NA 5 1 32758114
121 acs 1 1.9 6.08 0.06 84 0.01 NA NA 33 0 33925671
121 mmas 1 0.56 0.99 0.32 92 NA NA NA 23 0 34688969
121 acs 0 4.26 8.74 0.33 75 0.49 NA NA NA NA 38810088
121 mmas 2 0.81 6.96 0.05 71 NA NA NA 28 1 33750192
121 mmas 1 2.55 1.33 0.91 21 NA NA NA 16 0 34180442
121 eas 3 3.3 1.96 0.65 87 NA NA 342 5 0 32835542
121 as 3 3.78 4.17 0.45 97 NA NA NA 26 1 32791654
121 as 3 1.64 2.9 0.32 45 NA NA NA 37 1 32954132
121 as 3 4.87 9.24 0.45 26 NA NA NA 35 1 32747629
121 eas 3 0.6 6.27 0.84 89 NA NA 117 22 1 33068330
121 acs 0 3.17 1.93 0.67 30 0.9 NA NA NA NA 39045445
121 mmas 3 3.88 2.46 0.23 38 NA NA NA 42 0 33100838
121 mmas 1 2.3 5.78 0.04 18 NA NA NA 7 1 34090067
121 as 1 2.07 7.94 0.76 94 NA NA NA 36 1 33687630
121 as 2 3.65 0.84 0.47 41 NA NA NA 33 1 32929206
121 mmas 0 0.62 7.87 0.74 67 NA NA NA NA NA 38559917
121 as 0 4.43 0.63 0.63 97 NA NA NA NA NA 46986460
121 eas 0 2.5 9.86 0.63 25 NA NA 99 NA NA 39844215
121 eas 2 3.93 3.21 0.98 49 NA NA 611 6 1 34191270
121 acs 2 4.42 1.85 0.62 7 0.93 NA NA 45 0 32725615
121 as 1 3.77 3.7 0.39 16 NA NA NA 9 0 33148260
121 as 0 2.72 4.53 0.86 70 NA NA NA NA NA 38021688
121 acs 0 4.31 9.32 0.85 27 0.0 NA NA NA NA 38982996
121 eas 1 4.54 9.6 0.02 49 NA NA 28 27 0 33426252
121 eas 2 2.55 9.22 0.15 36 NA NA 693 48 0 32934475
121 mmas 2 1.4 1.16 0.74 57 NA NA NA 29 0 32969969
121 eas 1 1.31 4.81 0.78 49 NA NA 328 10 0 33085066
121 acs 0 3.31 5.1 0.26 78 0.86 NA NA NA NA 38324548
121 acs 3 3.54 0.22 0.83 23 0.92 NA NA 31 1 32574643
121 as 1 4.26 1.56 0.21 88 NA NA NA 45 1 33544221
121 as 1 0.3 0.98 0.36 51 NA NA NA 13 1 35175353
121 acs 0 2.77 0.64 0.87 30 0.17 NA NA NA NA 62106792
121 mmas 0 4.8 0.06 0.6 9 NA NA NA NA NA 76877354
121 eas 2 3.95 8.31 0.12 18 NA NA 427 11 1 32743936
121 as 3 1.49 0.41 0.05 76 NA NA NA 34 0 33165107
121 acs 2 4.57 0.09 0.37 82 0.44 NA NA 45 0 33435838
121 acs 3 0.67 2.82 0.29 9 0.26 NA NA 42 0 33048646
121 mmas 3 4.89 6.82 0.98 89 NA NA NA 7 1 33279174
121 eas 1 1.95 9.88 1.0 95 NA NA 396 29 0 33567395
121 ras 0 4.02 0.56 0.9 68 NA 33 NA NA NA 54923120
121 as 1 4.77 8.76 0.06 40 NA NA NA 21 1 33699302
121 acs 1 0.67 5.22 0.79 33 0.66 NA NA 33 1 33630677
121 mmas 0 2.25 6.29 0.26 74 NA NA NA NA NA 38200398
121 as 1 0.16 5.27 0.58 39 NA NA NA 49 0 34196488
121 mmas 3 0.7 1.27 0.02 75 NA NA NA 8 0 33306009
121 ras 1 0.73 6.84 0.75 49 NA 54 NA 45 1 33977206
121 ras 2 2.54 3.41 0.42 90 NA 59 NA 38 0 32947216
121 acs 3 3.62 0.68 0.9 54 0.28 NA NA 39 1 32850614
121 mmas 0 4.9 0.13 0.99 71 NA NA NA NA NA 75142444
121 ras 2 2.64 9.79 0.46 38 NA 76 NA 35 0 33177959
121 eas 1 0.94 6.06 0.04 94 NA NA 420 6 0 34052686
121 acs 1 3.6 2.12 0.01 84 0.33 NA NA 38 0 34255754
121 acs 0 1.88 8.61 0.63 20 0.95 NA NA NA NA 37274479
121 ras 0 4.22 1.91 0.82 42 NA 25 NA NA NA 42370917
121 acs 0 1.18 5.31 0.37 66 0.34 NA NA NA NA 40213020
121 mmas 3 3.75 6.22 0.11 94 NA NA NA 19 0 33206819
121 ras 3 1.71 0.07 0.45 50 NA 2 NA 50 0 33389951
121 as 0 3.15 7.07 1.0 75 NA NA NA NA NA 41536489
121 ras 1 0.49 0.36 0.31 97 NA 56 NA 42 0 34809700
121 eas 1 3.06 0.73 0.9 94 NA NA 655 15 0 34034229
121 mmas 3 2.09 0.77 0.11 49 NA NA NA 15 0 33211759
121 mmas 1 0.33 9.11 0.81 80 NA NA NA 27 0 33831171
121 as 0 4.62 5.76 0.65 70 NA NA NA NA NA 38466238
121 eas 0 3.36 4.11 0.12 70 NA NA 510 NA NA 44616222
121 ras 1 3.47 8.44 0.05 35 NA 78 NA 38 0 33426823
121 acs 3 0.62 8.74 0.17 62 0.28 NA NA 20 1 33123946
121 acs 0 4.33 2.8 0.91 13 0.99 NA NA NA NA 38408055
121 acs 3 2.35 7.44 0.46 37 0.38 NA NA 45 1 32791742
121 ras 3 4.19 2.73 0.89 61 NA 92 NA 32 0 32900874
121 as 3 4.24 6.88 0.45 9 NA NA NA 44 1 32555109
121 mmas 1 4.65 1.26 0.5 82 NA NA NA 18 0 33479512
