instance ASCENT_CANDIDATES BACKBONE_TRIALS BACKTRACKING CANDIDATE_SET_TYPE EXTRA_CANDIDATES EXTRA_CANDIDATE_SET_TYPE GAIN23 GAIN_CRITERION INITIAL_STEP_SIZE INITIAL_TOUR_ALGORITHM KICK_TYPE KICKS MAX_CANDIDATES MOVE_TYPE PATCHING_A PATCHING_C POPULATION_SIZE RESTRICTED_SEARCH SUBGRADIENT SUBSEQUENT_MOVE_TYPE SUBSEQUENT_PATCHING result
121 108 5 YES NEAREST-NEIGHBOR 19 NEAREST-NEIGHBOR YES YES 5 NEAREST-NEIGHBOR 14 5 10 5 4 4 302 NO NO 5 NO 32560990
121 210 1 YES ALPHA 10 NEAREST-NEIGHBOR YES YES 1 MOORE 8 4 19 10 15 2 298 YES NO 3 NO 40353718
121 272 4 NO QUADRANT 7 QUADRANT YES YES 1 SIERPINSKI 15 5 17 18 2 2 820 NO NO 0 NO 42303322
121 472 4 NO NEAREST-NEIGHBOR 6 NEAREST-NEIGHBOR NO YES 3 MOORE 19 4 19 7 15 1 568 YES NO 4 YES 32294011
121 447 5 NO NEAREST-NEIGHBOR 6 NEAREST-NEIGHBOR YES NO 3 GREEDY 10 5 17 3 17 1 263 NO NO 3 NO 33054489
121 338 4 YES ALPHA 11 NEAREST-NEIGHBOR NO NO 2 QUICK-BORUVKA 5 4 15 2 19 1 58 YES NO 0 YES 32778578
121 345 0 NO ALPHA 1 QUADRANT NO NO 5 NEAREST-NEIGHBOR 5 5 16 2 13 2 531 NO NO 3 YES 32344938
121 153 5 YES NEAREST-NEIGHBOR 15 QUADRANT NO NO 5 BORUVKA 6 5 7 20 13 3 789 NO NO 0 YES 37191842
121 187 2 NO DELAUNAY 2 QUADRANT YES NO 4 BORUVKA 11 3 4 9 3 3 281 NO NO 6 NO 32937961
121 487 4 YES DELAUNAY 12 NEAREST-NEIGHBOR YES NO 2 QUICK-BORUVKA 12 4 18 8 6 3 926 YES NO 0 YES 42245129
121 61 1 YES QUADRANT 3 QUADRANT YES NO 2 WALK 19 3 6 14 19 1 307 NO NO 5 YES 154243189
121 235 5 NO NEAREST-NEIGHBOR 9 QUADRANT NO YES 4 QUICK-BORUVKA 10 2 6 10 6 5 278 YES NO 3 NO 36890499
121 289 3 YES DELAUNAY 19 NEAREST-NEIGHBOR NO NO 2 SIERPINSKI 20 5 13 17 7 4 872 YES NO 6 NO 42568574
121 282 1 YES ALPHA 1 QUADRANT YES YES 1 WALK 17 4 7 19 11 3 603 YES NO 0 NO 85506588
121 424 2 NO DELAUNAY 18 QUADRANT NO YES 4 SIERPINSKI 11 1 12 15 10 1 207 YES NO 0 NO 42429995
121 238 0 NO QUADRANT 12 QUADRANT NO NO 3 WALK 14 3 3 19 14 4 991 NO NO 0 YES 83134406
121 180 1 NO QUADRANT 9 NEAREST-NEIGHBOR YES NO 5 WALK 5 4 13 7 15 4 553 YES NO 5 NO 39163754
121 398 1 YES NEAREST-NEIGHBOR 10 QUADRANT NO YES 3 MOORE 12 2 5 9 18 4 577 YES NO 5 YES 33413789
121 160 4 YES QUADRANT 13 NEAREST-NEIGHBOR NO YES 1 BORUVKA 12 5 6 14 10 2 420 YES NO 3 NO 36271716
121 186 2 YES DELAUNAY 17 QUADRANT YES YES 5 SIERPINSKI 8 5 19 15 3 2 465 NO NO 3 YES 41197263
121 373 4 YES ALPHA 5 NEAREST-NEIGHBOR NO NO 5 GREEDY 18 3 12 17 7 3 762 NO NO 2 YES 38177108
121 280 5 YES QUADRANT 16 NEAREST-NEIGHBOR YES YES 5 NEAREST-NEIGHBOR 7 2 15 8 15 5 956 NO NO 4 NO 38628991
121 259 2 NO QUADRANT 4 QUADRANT YES YES 5 SIERPINSKI 12 1 7 14 15 4 23 NO NO 2 YES 41242042
121 273 0 YES NEAREST-NEIGHBOR 9 QUADRANT NO YES 2 NEAREST-NEIGHBOR 9 4 4 17 5 2 492 NO NO 6 NO 40792902
121 353 0 NO ALPHA 5 NEAREST-NEIGHBOR NO NO 1 BORUVKA 8 3 13 11 19 4 776 YES NO 2 YES 37060560
121 382 0 YES NEAREST-NEIGHBOR 4 QUADRANT NO NO 1 GREEDY 5 2 4 11 6 2 758 YES NO 6 YES 34214779
121 255 1 NO NEAREST-NEIGHBOR 4 NEAREST-NEIGHBOR YES YES 5 MOORE 16 3 14 2 2 1 387 NO NO 2 NO 32612010
121 281 2 YES DELAUNAY 12 QUADRANT NO NO 3 GREEDY 18 1 8 15 7 5 941 YES NO 0 NO 38450573
121 53 1 YES NEAREST-NEIGHBOR 3 NEAREST-NEIGHBOR NO YES 4 WALK 20 4 15 10 7 1 994 YES NO 0 YES 116755861
121 59 2 YES NEAREST-NEIGHBOR 2 QUADRANT NO NO 5 QUICK-BORUVKA 16 3 18 7 13 4 647 YES NO 3 YES 36106377
121 154 5 NO QUADRANT 15 QUADRANT YES YES 4 BORUVKA 15 2 13 13 8 1 335 YES NO 2 YES 37066088
121 78 4 YES DELAUNAY 3 QUADRANT NO NO 1 BORUVKA 7 2 10 8 7 1 31 NO NO 2 NO 36176835
121 396 2 NO QUADRANT 15 NEAREST-NEIGHBOR YES NO 2 NEAREST-NEIGHBOR 17 4 6 3 18 3 329 NO NO 6 NO 36456819
121 173 1 NO DELAUNAY 8 QUADRANT YES NO 5 BORUVKA 20 3 6 13 2 2 668 YES NO 3 YES 39080042
121 215 0 YES DELAUNAY 20 NEAREST-NEIGHBOR YES YES 3 WALK 6 3 19 4 8 2 235 YES NO 3 YES 32273115
121 125 4 YES DELAUNAY 5 NEAREST-NEIGHBOR NO NO 4 WALK 12 4 20 17 13 2 61 NO NO 4 NO 84625999
121 447 5 YES DELAUNAY 9 NEAREST-NEIGHBOR YES YES 2 GREEDY 8 5 19 15 12 3 577 YES NO 0 NO 37587919
121 325 5 NO NEAREST-NEIGHBOR 15 QUADRANT NO YES 1 BORUVKA 14 5 18 2 11 4 724 YES NO 4 YES 32382215
121 286 0 NO DELAUNAY 18 NEAREST-NEIGHBOR YES YES 3 WALK 4 5 20 7 5 2 560 NO NO 6 YES 34506964
121 143 3 NO ALPHA 3 QUADRANT NO NO 4 BORUVKA 13 3 5 19 6 5 266 YES NO 2 NO 36721021
121 206 4 YES QUADRANT 8 QUADRANT YES NO 2 SIERPINSKI 14 5 10 20 4 3 153 NO NO 4 YES 42189375
121 437 4 YES QUADRANT 4 NEAREST-NEIGHBOR YES YES 5 MOORE 19 1 9 5 18 4 980 NO NO 5 YES 32245653
121 256 3 YES ALPHA 16 QUADRANT NO NO 4 QUICK-BORUVKA 11 3 3 5 6 4 967 YES NO 5 NO 34217948
121 27 4 NO NEAREST-NEIGHBOR 17 NEAREST-NEIGHBOR YES YES 4 SIERPINSKI 16 3 20 12 7 1 958 YES NO 4 NO 42126788
121 143 5 YES NEAREST-NEIGHBOR 1 QUADRANT NO NO 3 NEAREST-NEIGHBOR 7 1 10 11 4 2 468 NO NO 3 NO 34675005
121 49 0 NO ALPHA 2 NEAREST-NEIGHBOR YES YES 5 WALK 7 1 11 18 13 1 691 YES NO 2 NO 83762463
121 183 0 NO QUADRANT 4 NEAREST-NEIGHBOR NO NO 2 GREEDY 9 5 15 10 2 3 664 NO NO 2 NO 36724839
121 21 1 YES DELAUNAY 12 NEAREST-NEIGHBOR YES NO 3 QUICK-BORUVKA 6 5 14 12 13 4 190 YES NO 0 NO 43004025
121 429 2 NO QUADRANT 17 NEAREST-NEIGHBOR NO NO 2 NEAREST-NEIGHBOR 16 4 15 2 9 2 171 NO NO 2 NO 32437125
121 351 1 YES DELAUNAY 20 QUADRANT YES NO 3 QUICK-BORUVKA 19 4 9 3 14 2 538 YES NO 3 YES 34705174
121 166 3 YES ALPHA 12 NEAREST-NEIGHBOR NO YES 4 NEAREST-NEIGHBOR 9 2 7 12 11 1 182 YES NO 0 YES 42011688
121 163 5 YES ALPHA 1 NEAREST-NEIGHBOR NO NO 4 QUICK-BORUVKA 17 5 9 7 9 2 911 NO NO 4 YES 34623682
121 321 0 YES ALPHA 8 QUADRANT YES YES 1 NEAREST-NEIGHBOR 16 3 15 5 16 5 380 NO NO 0 NO 32269835
121 70 0 YES DELAUNAY 7 QUADRANT YES NO 1 QUICK-BORUVKA 5 4 13 17 8 3 66 NO NO 6 YES 39380075
121 132 1 YES NEAREST-NEIGHBOR 3 QUADRANT NO YES 1 MOORE 5 5 17 4 9 5 795 YES NO 2 NO 32460610
121 78 3 YES QUADRANT 14 QUADRANT NO NO 1 NEAREST-NEIGHBOR 14 3 9 16 4 4 761 YES NO 4 NO 39683313
121 74 5 NO QUADRANT 13 QUADRANT NO NO 4 SIERPINSKI 19 5 6 17 5 3 430 NO NO 4 NO 42566484
121 237 1 NO ALPHA 14 QUADRANT YES NO 2 QUICK-BORUVKA 5 3 3 6 12 3 335 NO NO 4 NO 37372289
121 443 1 YES QUADRANT 5 QUADRANT YES NO 3 BORUVKA 6 2 8 7 20 4 763 YES NO 5 NO 34468665
121 352 4 YES ALPHA 17 NEAREST-NEIGHBOR YES YES 1 GREEDY 10 2 18 10 19 4 794 NO NO 3 YES 35454425
121 169 0 NO DELAUNAY 8 NEAREST-NEIGHBOR YES YES 4 WALK 7 2 20 8 7 5 327 NO NO 0 NO 34161969
121 129 4 NO NEAREST-NEIGHBOR 17 NEAREST-NEIGHBOR YES YES 5 GREEDY 10 4 9 14 10 3 230 YES NO 0 YES 36574270
121 359 4 NO QUADRANT 9 NEAREST-NEIGHBOR NO YES 1 BORUVKA 16 5 16 11 8 1 463 YES NO 3 YES 36699172
121 289 4 NO ALPHA 12 NEAREST-NEIGHBOR NO NO 3 MOORE 4 3 17 3 14 2 467 YES NO 4 NO 32706909
121 128 2 NO NEAREST-NEIGHBOR 10 QUADRANT YES YES 5 NEAREST-NEIGHBOR 14 3 7 20 11 1 183 YES NO 3 NO 41120717
121 293 1 YES DELAUNAY 16 QUADRANT YES NO 5 MOORE 13 3 10 13 17 3 247 NO NO 6 NO 42501234
121 342 0 YES DELAUNAY 4 NEAREST-NEIGHBOR NO YES 4 BORUVKA 10 3 8 16 10 3 745 YES NO 4 YES 36804691
121 338 0 NO ALPHA 12 NEAREST-NEIGHBOR YES NO 4 MOORE 11 1 9 9 10 4 109 YES NO 6 YES 41396110
121 159 1 NO NEAREST-NEIGHBOR 3 NEAREST-NEIGHBOR YES NO 5 BORUVKA 17 1 7 2 4 4 400 YES NO 0 YES 32490181
121 345 2 YES QUADRANT 6 QUADRANT NO YES 5 BORUVKA 10 4 17 10 7 1 518 NO NO 4 NO 36354163
121 38 2 NO DELAUNAY 17 NEAREST-NEIGHBOR YES NO 1 WALK 18 2 17 20 13 5 216 NO NO 2 YES 68893682
121 22 0 NO ALPHA 9 QUADRANT YES YES 5 NEAREST-NEIGHBOR 12 4 19 5 15 5 884 NO NO 0 YES 32340560
121 267 1 NO QUADRANT 17 QUADRANT YES YES 3 QUICK-BORUVKA 15 1 3 18 7 5 527 NO NO 2 NO 52799486
121 119 1 YES NEAREST-NEIGHBOR 5 QUADRANT NO YES 4 SIERPINSKI 16 1 11 8 6 1 565 YES NO 3 YES 33003886
121 266 3 YES NEAREST-NEIGHBOR 20 QUADRANT YES NO 2 GREEDY 14 2 15 2 3 3 121 NO NO 6 NO 36357702
121 22 4 YES DELAUNAY 19 NEAREST-NEIGHBOR YES NO 2 WALK 11 4 4 5 8 4 511 YES NO 3 YES 35240605
121 116 2 YES ALPHA 8 QUADRANT NO YES 4 WALK 8 1 10 6 16 5 509 YES NO 3 YES 32309330
121 491 1 NO NEAREST-NEIGHBOR 4 NEAREST-NEIGHBOR YES YES 1 SIERPINSKI 11 2 10 8 11 3 115 YES NO 5 YES 32299641
121 12 0 YES NEAREST-NEIGHBOR 4 NEAREST-NEIGHBOR NO YES 1 BORUVKA 9 3 15 13 4 3 220 NO NO 2 YES 36695530
121 53 1 NO ALPHA 15 NEAREST-NEIGHBOR YES YES 4 BORUVKA 17 1 19 7 7 4 531 YES NO 4 NO 33687570
121 131 1 NO NEAREST-NEIGHBOR 13 NEAREST-NEIGHBOR NO NO 3 QUICK-BORUVKA 8 3 19 18 13 1 388 NO NO 0 NO 38733933
121 58 5 NO QUADRANT 10 QUADRANT YES NO 2 WALK 19 2 19 2 10 4 841 NO NO 3 NO 32970565
